objectid,sort_index,parentid,admin_notes,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript,,,
grinnell_5161,11,,,"Careda Rolland, Milton Rolland & Edna Haggins",,1974-05-03,"Photo of Careda Rolland '76, Milton P. Rolland '75 & Edna Haggins",Life at Grinnell,"Grinnell, IA",,,Grinnell College,grinnell:5161,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,https://dgobjects.blob.core.windows.net/objs/grinnell_5161_OBJ.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell_5161_JPG.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell_5161_TN.jpg,,,,,
,12,,"""N/a"" mark from column A was removed for testing.  This line should get ignored.",Students Eating Outdoors,"George Bergstrom, Duane Taylor, Keith Legget",1971,"Students eating outside. Identified students: Duane Taylor '73 (center), Keith Legget '72 (second from right), George Bergstrom '72 (left).",Life at Grinnell,"Grinnell, IA",,,Grinnell College,N/a,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,,,,,,,,
grinnell_5292,13,,,Burling 1970,,1970,Photo of students in Burling library during New Student Days.,Life at Grinnell; Burling Library,"Grinnell, IA",41.74665973,-92.72017393,Grinnell College,grinnell:5292,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,https://dgobjects.blob.core.windows.net/objs/grinnell_5292_OBJ.tiff,,https://dgobjects.blob.core.windows.net/thumbs/grinnell_5292_TN.jpg,,,,,
grinnell_5759,14,,,Black Martyr's Weekend,Office of College Relations,1971,Photo of Val Gray Ward speaking at the Black Martyr's Weekend,Life at Grinnell; Black Martyr's Weekend,"Grinnell, IA",,,Grinnell College,grinnell:5759,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,https://dgobjects.blob.core.windows.net/objs/grinnell_5759_OBJ.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell_5759_JPG.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell_5759_TN.jpg,,,,,
grinnell_5760,15,,,"Black Martyr's Weekend, 1971",Office of College Relations,1971,"Photograph of Dick Gregory speaking at the Black Martyr's Weekend, 1971.",Life at Grinnell; Black Martyr's Weekend,"Grinnell, IA",,,Grinnell College,grinnell:5760,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,https://dgobjects.blob.core.windows.net/objs/grinnell_5760_OBJ.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell_5760_JPG.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell_5760_TN.jpg,,,,,
grinnell_4962,16,,,"Black Martyrs' Weekend, April 2-5, 1971",,1971,Photograph of Dick Gregory speaking at the 1971 Black Martyrs' convocation.,Life at Grinnell; Black Martyr's Weekend,"Grinnell, IA",,,Grinnell College,grinnell:4962,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,https://dgobjects.blob.core.windows.net/objs/grinnell_4962_OBJ.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell_4962_JPG.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell_4962_TN.jpg,,,,,
grinnell_4960,17,,,"Black Martyrs' Weekend (April 3, 1969)",,4/3/1969,"Photograph of the Black Martyrs' Weekend Convocation in Herrick Chapel on April 3, 1969.",Life at Grinnell; Black Martyr's Weekend,"Grinnell, IA",41.74764597,-92.72188976,Grinnell College,grinnell:4960,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,https://dgobjects.blob.core.windows.net/objs/grinnell_4960_OBJ.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell_4960_JPG.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell_4960_TN.jpg,,,,,
grinnell_5775,18,,,New Student Moving In,"McMullin, Roger",1974,Moving in to dorms during New Student Days.,Life at Grinnell,"Grinnell, IA",41.74992083,-92.72220284,Grinnell College,grinnell:5775,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,https://dgobjects.blob.core.windows.net/objs/grinnell_5775_OBJ.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell_5775_JPG.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell_5775_TN.jpg,,,,,
grinnell_10568,19,,,A Mandate for Hypocrisy: The Black Studies Major at Grinnell College,Garrett P. Shelton,1997-11-18,"This is an essay chronicling the history of the black studies major at Grinnell College, with an emphasis on the reasons it had such a short career. It also provides an overview of the CBS Manifesto of 1971.",Life at Grinnell,"Grinnell, IA",,,Grinnell College,grinnell:10568,text; research paper,text/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,https://dgobjects.blob.core.windows.net/objs/grinnell_10568_OBJ.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell_10568_JPG.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell_10568_TN.jpg,,,,,
grinnell_19465,20,,,Brenda Thomas '69,"Figa, Alenka '12; Galloway, Lily '17; McFate, Mackenzie '18","June 2, 2012","Alumni oral history interview with Brenda Thomas '69. Recorded June 2, 2012.",Life at Grinnell,"Grinnell, IA",,,Grinnell College,grinnell:19465,interview;sound recording-nonmusical,audio/mp3,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,audio,,,,,,,,
